program_id,program_name,funder_type,agency_or_funder,cfda_number,funds_what,eligible_applicant_types,requires_government_intermediary,requires_match_funding,geography_scope,sector_tags,typical_award_size,notes,source_url
dos_overseas_refugee_africa,Overseas Refugee Assistance Programs for Africa,federal,Department of State,19.517,direct_project,nonprofit_501c3|international_ngo,FALSE,FALSE,international,humanitarian|international_development,medium ($100K-1M),"Same Bureau of Population, Refugees and Migration family as dos_overseas_refugee_western_hemisphere, different region - 1,059 awards/10yr, median $989,283, nonprofit 501c3 dominant (578 combined).",https://www.state.gov/bureaus-offices/under-secretary-for-civilian-security-democracy-and-human-rights/bureau-of-population-refugees-and-migration/
treasury_cdfi_rapid_response,CDFI Rapid Response Program (CDFI RRP),federal,CDFI Fund (Treasury),21.024,direct_project,certified_cdfi|nonprofit_501c3|for_profit_business,FALSE,FALSE,national,economic_development|disaster_recovery,large ($1M+),"A disaster/crisis-relief-style CDFI award (like treasury_cdfi_erp, unlike the standing treasury_cdfi_program) - 864 awards/10yr, median $1.83M, nonprofit 501c3 dominant (478), for-profit CDFIs present (163). No match-funding requirement, consistent with the relief-program pattern rather than the standing-program match requirement.",https://www.cdfifund.gov/programs-training/programs/cdfi-rrp
dos_overseas_refugee_mena,Overseas Refugee Assistance Program for Middle East and North Africa,federal,Department of State,19.519,direct_project,nonprofit_501c3|international_ngo,FALSE,FALSE,international,humanitarian|international_development,large ($1M+),"Same refugee-assistance family as dos_overseas_refugee_western_hemisphere/dos_overseas_refugee_africa, MENA region - 767 awards/10yr, median $2.19M, nonprofit 501c3 dominant (498 combined).",https://www.state.gov/bureaus-offices/under-secretary-for-civilian-security-democracy-and-human-rights/bureau-of-population-refugees-and-migration/
dol_dislocated_worker_emergency_grants,WIOA National Dislocated Worker Grants / National Emergency Grants,federal,Department of Labor,17.277,direct_project,state|nonprofit_501c3,TRUE,FALSE,national,disaster_recovery|workforce|economic_development,large ($1M+),"Funds disaster-related unemployment/dislocated-worker assistance (e.g. after hurricanes) - flows through state workforce boards. 764 awards/10yr, median $1.72M, state government dominant (465); nonprofit 501c3 present but minority (55 of top-3) - most nonprofit access is via a state/local workforce board, not direct.",https://www.dol.gov/agencies/eta/disaster-recovery/grants
dot_emergency_relief,Emergency Relief (ER) Program,federal,DOT (FHWA),20.271,direct_project,state|territory|tribal_government,FALSE,FALSE,national,disaster_recovery|infrastructure,small_to_medium (<$1M),"Emergency road/bridge repair funding after disasters - 695 awards/10yr, median $90,298, almost entirely state government (666 of 695). No nonprofit pathway - same government-only treatment as dot_national_infrastructure_investments.",https://www.fhwa.dot.gov/programadmin/erelief.cfm
dot_hazmat_training_grants,Interagency Hazardous Materials Public Sector Training and Planning Grants,federal,DOT (PHMSA),20.703,direct_project,state|tribal_government|nonprofit_501c3,FALSE,FALSE,national,hazard_mitigation|disaster_recovery,medium ($100K-1M),"607 awards/10yr, median $308,370, state government dominant (327), tribal government present (90), nonprofit 501c3 present (65) - direct nonprofit access is real but a minority pathway.",https://www.phmsa.dot.gov/grants
doi_climate_adaptation_science_centers,National and Regional Climate Adaptation Science Centers,federal,Department of the Interior (USGS),15.820,direct_project,higher_ed|state,FALSE,FALSE,national,climate_adaptation|research,medium ($100K-1M),"528 awards/10yr, median $199,997, public/state-controlled higher ed overwhelmingly dominant (484 of 528, ~92%). Sister program to doi_earthquake_hazards - same university-research-grant structure, climate-adaptation focus instead of seismic.",https://www.usgs.gov/programs/climate-adaptation-science-centers
hud_lead_hazard_reduction_demo,Lead Hazard Reduction Demonstration Grant Program,federal,HUD,14.905,direct_project,state|local_government,FALSE,FALSE,national,housing|hazard_mitigation,large ($1M+),"Sister program to hud_lead_hazard_reduction - 426 awards/10yr, median $3.03M, city/township (262) and state (131) government dominant. No nonprofit pathway modeled, same treatment as the parent program.",https://www.hud.gov/program_offices/healthy_homes/lhc
hhs_refugee_targeted_assistance,Refugee and Entrant Assistance Targeted Assistance Grants,federal,HHS (Administration for Children and Families),93.584,direct_project,state|nonprofit_501c3,TRUE,FALSE,national,humanitarian,medium ($100K-1M),"Third program in the refugee-assistance family alongside hhs_refugee_state_administered/hhs_refugee_discretionary - 378 awards/10yr, median $471,337, state government dominant (301), no nonprofit in the top-3 breakdown for this specific sub-program (unlike its siblings) - treat nonprofit access here as intermediary-only, not direct, distinct from hhs_refugee_discretionary's direct pathway.",https://www.acf.hhs.gov/orr/programs/refugee-assistance
hhs_head_start_disaster_recovery,Head Start Disaster Recovery,federal,HHS (Administration for Children and Families),93.356,direct_project,nonprofit_501c3|local_government|state,FALSE,FALSE,national,disaster_recovery|community_resilience,medium ($100K-1M),"Exact-title match for disaster recovery - restores/sustains early childhood education access after a disaster - 372 awards/10yr, median $773,780, nonprofit 501c3 present (64) alongside city/township government (54); plurality 'OTHER' (131) likely reflects Head Start grantee coding conventions.",https://www.acf.hhs.gov/ohs/about/head-start-disaster-recovery
usda_emergency_community_water,Emergency Community Water Assistance Grants,federal,USDA,10.763,direct_project,local_government|utility,FALSE,FALSE,national,disaster_recovery|infrastructure|green_infrastructure,medium ($100K-1M),"Emergency drinking-water infrastructure repair/replacement after a disaster or contamination event - 370 awards/10yr, median $150,000, plurality 'OTHER' (328, likely water-district/utility coding) with city/township (10) and special district (7) government identifiable. No nonprofit pathway - utility/water-district structure, not an organizational grantee program.",https://www.rd.usda.gov/programs-services/water-environmental-programs/emergency-community-water-assistance-grants
usda_watershed_flood_prevention,Watershed Protection and Flood Prevention,federal,USDA NRCS,10.904,direct_project,local_government,FALSE,FALSE,national,hazard_mitigation|disaster_recovery|infrastructure,medium ($100K-1M),"351 awards/10yr, median $675,206, entirely local government (special district 132, city/township 85, county 57) - no nonprofit pathway in the real data, similar structure to usda_ewp but a planning/prevention program rather than post-disaster emergency response.",https://www.nrcs.usda.gov/programs-initiatives/watershed-protection-and-flood-prevention-operations-program
hhs_environmental_public_health_emergency,Environmental Public Health and Emergency Response,federal,HHS (CDC),93.070,direct_project,state|nonprofit_501c3,FALSE,FALSE,national,disaster_recovery|humanitarian|community_resilience,large ($1M+),"341 awards/10yr, median $1.05M, state government dominant (213), nonprofit 501c3 present (27) - direct nonprofit access is real but a minority pathway.",https://www.cdc.gov/orr/
dot_protect,"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT)",federal,DOT (FHWA),20.284,direct_project,state|tribal_government,FALSE,FALSE,national,infrastructure|hazard_mitigation|disaster_recovery,medium ($100K-1M),"DOT's dedicated transportation-resilience program (IIJA-era) - 319 awards/10yr, median $232,000, almost entirely state government (318 of 319). No nonprofit pathway - government-only, same treatment as dot_emergency_relief.",https://www.fhwa.dot.gov/environment/protect/
epa_water_infrastructure_underserved,Water Infrastructure Improvements for the Nation - Small and Underserved Communities Emerging Contaminants Grant Program,federal,EPA,66.442,direct_project,state|tribal_government|local_government,FALSE,FALSE,national,infrastructure|green_infrastructure|disaster_recovery,medium ($100K-1M),"314 awards/10yr, median $917,000, state government dominant (300), tribal government present (11). No nonprofit pathway - water-infrastructure program for small/underserved communities, government-only.",https://www.epa.gov/water-infrastructure
fema_earthquake_state_assistance,Earthquake State Assistance,federal,FEMA,97.082,direct_project,state|local_government,FALSE,FALSE,national,hazard_mitigation|disaster_recovery,small_to_medium (<$1M),"Funds STATE earthquake program offices/preparedness, not research - the state-government-operations sister to doi_earthquake_hazards' university-research grants. 293 awards/10yr, median $57,726, state (152) and county (49) government dominant. No nonprofit pathway.",https://www.fema.gov/grants/mitigation/earthquake
usfs_community_wildfire_defense,Community Wildfire Defense Grants (IIJA),federal,USDA Forest Service,10.720,direct_project,state|local_government|nonprofit_501c3,FALSE,FALSE,national,hazard_mitigation|disaster_recovery,medium ($100K-1M),"271 awards/10yr, median $350,000, state (137) and county (27) government dominant, nonprofit 501c3 present (37) - direct nonprofit access is real, distinct from usfs_hazardous_fuel_reduction's almost entirely state-government pattern.",https://www.fs.usda.gov/managing-land/fire/grants
ed_disaster_recovery_education,Disaster Recovery Assistance for Education,federal,Department of Education,84.938,direct_project,state|higher_ed,FALSE,FALSE,national,disaster_recovery|community_resilience,medium ($100K-1M),"251 awards/10yr, median $596,750, state government dominant (125), but private (43) and public (42) higher-ed institutions are real direct recipients too (85 of 251, ~34%) - a genuine direct higher-ed pathway for restoring education access after a disaster.",https://www.ed.gov/about/news/press-release/department-education-provides-disaster-relief-resources
mcc_foreign_assistance,MCC Foreign Assistance for Overseas Programs,federal,Millennium Challenge Corporation,85.002,direct_project,nonprofit_501c3|international_ngo|foreign_government_entity,FALSE,FALSE,international,international_development|economic_development|infrastructure,medium ($100K-1M),"A federal foreign-assistance agency entirely distinct from USAID/State - 241 awards/10yr, median $400,000, plurality 'OTHER' (214, likely foreign-government-entity/compact-country coding), nonprofit 501c3 present (10), non-domestic entities present (5). MCC's core model is country-level 'compacts' with partner-country governments, not individual project grants the way USAID/State programs work - verify the actual application pathway (likely government-to-government, not open competitive solicitation) before treating this like the other rows.",https://www.mcc.gov/
hhs_mental_health_disaster_assistance,Mental Health Disaster Assistance and Emergency Mental Health,federal,HHS (SAMHSA),93.982,direct_project,state|nonprofit_501c3|tribal_government,FALSE,FALSE,national,disaster_recovery|humanitarian|community_resilience,large ($1M+),"223 awards/10yr, median $1M, state government dominant (178), nonprofit 501c3 (14) and tribal government (6) present as minority direct pathways.",https://www.samhsa.gov/grants/emergency-response-program
epa_climate_pollution_reduction,Climate Pollution Reduction Grants,federal,EPA,66.046,direct_project,tribal_government|state|local_government,FALSE,FALSE,national,climate_adaptation|infrastructure,large ($1M+),"283 awards/10yr, median $1M, federally-recognized tribal governments dominant (123), state (65) and city/township (51) government present. No nonprofit pathway in the real data.",https://www.epa.gov/inflation-reduction-act/climate-pollution-reduction-grants
doi_reclamation_drought_relief,Reclamation States Emergency Drought Relief,federal,Department of the Interior (Bureau of Reclamation),15.514,direct_project,local_government,FALSE,FALSE,national,disaster_recovery|hazard_mitigation|infrastructure,medium ($100K-1M),"234 awards/10yr, median $518,954, special district (91) and city/township (53) government dominant - water-district structure, no nonprofit pathway.",https://www.usbr.gov/drought/
hhs_disaster_relief_non_construction,HHS Programs for Disaster Relief Appropriations Act - Non Construction,federal,HHS,93.095,direct_project,higher_ed,FALSE,FALSE,national,disaster_recovery|community_resilience|research,large ($1M+),"Unusually higher-ed-dominated for an HHS disaster program - 200 awards/10yr, median $2.79M, private (112) and public (17) higher-ed institutions are the dominant recipient type, not state government. A real direct university pathway for domestic disaster-relief research/recovery work, complementing doi_earthquake_hazards/doi_climate_adaptation_science_centers' research focus with an explicitly disaster-relief framing.",https://www.hhs.gov/
hhs_refugee_wilson_fish,Refugee and Entrant Assistance Wilson/Fish Program,federal,HHS (Administration for Children and Families),93.583,direct_project,state|nonprofit_501c3,FALSE,FALSE,national,humanitarian,large ($1M+),"Alternative-administration model in the refugee-assistance family (states or nonprofits can be the lead administering entity, unlike hhs_refugee_state_administered's state-first default) - 194 awards/10yr, median $4.76M, state (86) and nonprofit 501c3 (44) both real direct pathways.",https://www.acf.hhs.gov/orr/programs/refugee-assistance
ncua_community_development_credit_unions,Community Development Revolving Loan Fund Program for Credit Unions,federal,National Credit Union Administration,44.002,direct_project,nonprofit_501c3|certified_cdfi,FALSE,FALSE,national,economic_development|community_resilience,small_to_medium (<$1M),"A federal agency entirely distinct from Treasury's CDFI Fund, though overlapping in practice (many low-income-designated credit unions are also CDFI-certified) - 185 awards/10yr, 100% nonprofit 501c3 (low-income-designated credit unions specifically, not nonprofits generally). Unusually small typical award (median $7,000) - this funds technical assistance/small capital grants, not large project funding.",https://www.ncua.gov/support-services/credit-union-resources-expansion/grants-loans
hhs_hospital_preparedness_program,Hospital Preparedness Program (HPP) and Public Health Emergency Preparedness (PHEP) Aligned Cooperative Agreements,federal,HHS (ASPR/CDC),93.074,direct_project,state|territory,FALSE,FALSE,national,disaster_recovery|hazard_mitigation|community_resilience,large ($1M+),"The core federal healthcare-system disaster-preparedness funding mechanism - 185 awards/10yr, median $11.93M (highest median in this entire batch), state government and territory dominant, almost entirely government-administered (state health departments fund hospital coalitions as subrecipients). No direct nonprofit pathway modeled.",https://aspr.hhs.gov/grants/Pages/default.aspx
doe_environmental_emergency_response_research,"Environmental Monitoring/Cleanup, Cultural and Resource Management, Emergency Response Research, Outreach, Technical Analysis",federal,DOE,81.214,direct_project,state|tribal_government|nonprofit_501c3,FALSE,FALSE,national,hazard_mitigation|research|disaster_recovery,large ($1M+),"184 awards/10yr, median $1.72M, state (80) and tribal government (31) dominant, nonprofit 501c3 present (17) as a real minority direct pathway.",https://www.energy.gov/
dos_overseas_refugee_east_asia,Overseas Refugee Assistance Programs for East Asia,federal,Department of State,19.511,direct_project,nonprofit_501c3|international_ngo,FALSE,FALSE,international,humanitarian|international_development,medium ($100K-1M),"Same Bureau of Population, Refugees and Migration family as the other dos_overseas_refugee_* rows, East Asia region - 177 awards/10yr, median $502,915, nonprofit 501c3 dominant (89 combined).",https://www.state.gov/bureaus-offices/under-secretary-for-civilian-security-democracy-and-human-rights/bureau-of-population-refugees-and-migration/
dot_public_transit_emergency_relief,Public Transportation Emergency Relief Program,federal,DOT (FTA),20.527,direct_project,state|local_government,FALSE,FALSE,national,disaster_recovery|infrastructure,medium ($100K-1M),"169 awards/10yr, median $731,174, plurality 'OTHER' (62, likely transit-agency coding) with state (44) and city/township (29) government identifiable. No nonprofit pathway - government/transit-agency structure.",https://www.transit.dot.gov/funding/grants/emergency-relief-program
dos_overseas_refugee_europe,Overseas Refugee Assistance Programs for Europe,federal,Department of State,19.520,direct_project,nonprofit_501c3|international_ngo,FALSE,FALSE,international,humanitarian|international_development,small_to_medium (<$1M),"Same refugee-assistance family, Europe region, smallest median in the family - 163 awards/10yr, median $25,000, nonprofit 501c3 present (32 combined) alongside plurality 'OTHER' (118).",https://www.state.gov/bureaus-offices/under-secretary-for-civilian-security-democracy-and-human-rights/bureau-of-population-refugees-and-migration/
usda_direct_housing_disaster,Direct Housing - Natural Disaster Loans and Grants,federal,USDA Rural Development,10.444,direct_project,individual,FALSE,FALSE,national,disaster_recovery|housing,small_to_medium (<$1M),"100% INDIVIDUAL recipient type (149 of 149) - a genuinely individual-applicant program (rural homeowner disaster loans/grants), not an organizational one, distinct from every other row in this table by recipient type. Median obligated amount is reported as -$9,000 in the source data - almost certainly a loan-principal-adjustment accounting artifact, not a real negative-funding signal; verify actual award terms directly with USDA Rural Development before relying on this figure.",https://www.rd.usda.gov/programs-services/single-family-housing-programs/single-family-housing-direct-home-loans
usda_section504_home_repair,Section 504 Single Family Housing Repair Loans and Grants,federal,USDA Rural Development,10.417,direct_project,individual,FALSE,FALSE,national,disaster_recovery|housing,small_to_medium (<$1M),"Found via a real-world referral (Appalachia Recovery Coalition/Heart to Heart Foundation helping Hurricane Helene-affected seniors apply, 2026-06-27) - the standing year-round companion to usda_direct_housing_disaster, NOT disaster-specific itself but with a real disaster bump: grants (age 62+, health/safety hazard removal only) cap at $10,000 normally, $15,000 if repairing a home in a presidentially-declared disaster area; loans cap at $40,000; combined loan+grant up to $55,000 in a declared disaster area. By far the largest individual-recipient-type program found in this research: 37,812 awards/10yr, 100% INDIVIDUAL recipient type, median $7,500 (small, per-household scale, not project-scale). Income-qualified (very-low-income) and must be the owner-occupant - not a fit for organizations, but real precedent for any 'how do individual homeowners get disaster recovery help' question.",https://www.rd.usda.gov/programs-services/single-family-housing-programs/single-family-housing-repair-loans-grants
epa_hazardous_waste_state_program,Hazardous Waste Management State Program Support,federal,EPA,66.801,direct_project,state,FALSE,FALSE,national,hazard_mitigation,large ($1M+),"141 awards/10yr, median $2.02M, almost entirely state government (129 of 141). No nonprofit pathway - state environmental agency program.",https://www.epa.gov/hw
dos_overseas_refugee_strategic_priorities,Overseas Refugee Assistance Programs for Strategic Global Priorities,federal,Department of State,19.522,direct_project,nonprofit_501c3|international_ngo|higher_ed,FALSE,FALSE,international,humanitarian|international_development,medium ($100K-1M),"Same Bureau of Population, Refugees and Migration family as the other dos_overseas_refugee_* rows, a cross-region 'strategic priorities' bucket rather than a fixed geography - 132 awards/10yr, median $414,283, nonprofit 501c3 dominant (75), public higher ed present (17).",https://www.state.gov/bureaus-offices/under-secretary-for-civilian-security-democracy-and-human-rights/bureau-of-population-refugees-and-migration/
hhs_public_health_emergency_preparedness,Public Health Emergency Preparedness,federal,HHS (ASPR),93.069,direct_project,state|local_government,FALSE,FALSE,national,disaster_recovery|hazard_mitigation|community_resilience,large ($1M+),"Sister/precursor program to hhs_hospital_preparedness_program (93.074, the 'Aligned Cooperative Agreements' version) - 129 awards/10yr, median $4.45M, state government dominant (94). No nonprofit pathway - same government-only structure as its sibling.",https://aspr.hhs.gov/grants/Pages/default.aspx
fema_disaster_assistance_projects,Disaster Assistance Projects,federal,FEMA,97.088,direct_project,state|for_profit_business,FALSE,FALSE,national,disaster_recovery|hazard_mitigation,large ($1M+),"119 awards/10yr, median $2.88M, state government dominant (99), for-profit organizations present as a real minority direct pathway (7).",https://www.fema.gov/grants
doi_wildfire_management_preparedness,Department of Interior Wildfire Management - Preparedness,federal,Department of the Interior,15.088,direct_project,local_government,FALSE,FALSE,national,hazard_mitigation|disaster_recovery,small_to_medium (<$1M),"118 awards/10yr, median $39,688 (small, operational-scale funding), city/township (85), county (17), and special district (15) government dominant - local fire-district structure, no nonprofit pathway.",https://www.doi.gov/wildlandfire
epa_environmental_climate_justice,Environmental and Climate Justice Community Change Grants Program,federal,EPA,66.616,direct_project,nonprofit_501c3|tribal_government|local_government,FALSE,FALSE,national,climate_adaptation|community_resilience,large ($1M+),"104 awards/10yr, median $19.68M (the largest median award size found in this entire research effort, domestic or international), nonprofit 501c3 dominant (64), tribal government present (14) - a real, large, direct nonprofit pathway for climate/community-resilience work.",https://www.epa.gov/environmentaljustice/environmental-and-climate-justice-community-change-grants-program
hhs_refugee_voluntary_agency,Refugee and Entrant Assistance Voluntary Agency Programs,federal,HHS (Administration for Children and Families),93.567,direct_project,nonprofit_501c3,FALSE,FALSE,national,humanitarian,large ($1M+),"The core program funding the national resettlement voluntary agencies directly (domestic HHS counterpart to dos_refugee_admissions_program's State Dept funding) - 103 awards/10yr, median $11.35M, nonprofit 501c3 dominant (73 of 103, ~71%).",https://www.acf.hhs.gov/orr/programs/refugee-assistance
dod_military_installation_resilience,Community Economic Adjustment Assistance for Responding to Threats to the Resilience of a Military Installation,federal,DOD (Office of Local Defense Community Cooperation),12.003,direct_project,local_government|state,FALSE,FALSE,national,community_resilience|economic_development|hazard_mitigation,medium ($100K-1M),"A Department of Defense program - a genuinely new agency in this table, distinct from FEMA/DHS-style disaster resilience. Funds regional planning bodies/local governments responding to resilience threats (climate, encroachment, infrastructure) near military installations - 100 awards/10yr, median $517,298, regional organizations and special district/city/county government combinations dominant. No nonprofit pathway in the real data.",https://www.oldcc.gov/
fema_emergency_operations_center,Emergency Operations Center,federal,FEMA,97.052,direct_project,state|local_government,FALSE,FALSE,national,disaster_recovery|hazard_mitigation,large ($1M+),"99 awards/10yr, median $1.6M, state (65) and county (23) government dominant. No nonprofit pathway - funds EOC facility construction/equipping directly for government emergency management agencies.",https://www.fema.gov/grants/preparedness/emergency-operations-center
hhs_community_health_workers_resilience,Community Health Workers for Public Health Response and Resilient Communities,federal,HHS (CDC),93.495,direct_project,state|local_government,FALSE,FALSE,national,disaster_recovery|community_resilience|humanitarian,large ($1M+),"73 awards/10yr, median $3M, state (27), county (25), and city/township (9) government dominant. No nonprofit pathway in the real data despite the 'community' framing.",https://www.cdc.gov/chronicdisease/about/community-health-workers.htm
doi_hurricane_sandy_relief_fws,Hurricane Sandy Disaster Relief Activities - Fish and Wildlife Service,federal,Department of the Interior (FWS),15.677,direct_project,nonprofit_501c3|higher_ed|state,FALSE,FALSE,national,disaster_recovery|hazard_mitigation,medium ($100K-1M),"A storm-specific historical appropriation (Hurricane Sandy, 2012) rather than a standing program - likely fully obligated/closed by now, verify current status before treating as an active funding source. Included for the real precedent it shows: 70 awards/10yr, median $205,228, nonprofit 501c3 (20) and public higher ed (10) both real direct pathways for ecosystem-restoration-style disaster recovery work, not just government.",https://www.fws.gov/
doe_ceser,"Cybersecurity, Energy Security and Emergency Response (CESER)",federal,DOE,81.008,direct_project,higher_ed|nonprofit_501c3|for_profit_business,FALSE,FALSE,national,hazard_mitigation|research|infrastructure,large ($1M+),"Direct fit for an AI/data-analytics/critical-infrastructure-resilience angle (grid cybersecurity, energy-sector emergency response) - 67 awards/10yr, median $2.48M, public higher ed dominant (36), nonprofit 501c3 (13) and for-profit (6) present.",https://www.energy.gov/ceser/cybersecurity-energy-security-and-emergency-response
dot_pipeline_emergency_response,Pipeline Emergency Response Grant (PERG),federal,DOT (PHMSA),20.706,direct_project,state|local_government,FALSE,FALSE,national,disaster_recovery|hazard_mitigation,medium ($100K-1M),"65 awards/10yr, median $143,000, state (25), county (17), and city/township (14) government dominant. No nonprofit pathway - sister program to dot_hazmat_training_grants.",https://www.phmsa.dot.gov/grants
dos_refugee_resettlement_support_centers,Resettlement Support Centers (RSCs) for U.S. Refugee Resettlement,federal,Department of State,19.018,direct_project,nonprofit_501c3|international_ngo,FALSE,FALSE,international,humanitarian|international_development,large ($1M+),"Funds the overseas processing centers that screen/prepare refugees before US admission - the pre-arrival counterpart to dos_refugee_admissions_program's post-arrival resettlement funding. 56 awards/10yr, median $8.4M, nonprofit 501c3 overwhelmingly dominant (39 of 56, ~70%).",https://www.state.gov/refugee-admissions/
dos_refugee_admissions_program,U.S. Refugee Admissions Program,federal,Department of State,19.510,direct_project,nonprofit_501c3,FALSE,FALSE,national,humanitarian,large ($1M+),"The core national resettlement-agency funding mechanism (funds the major national resettlement agencies directly) - 190 awards/10yr, median $11.72M (highest median in the entire refugee-assistance family), nonprofit 501c3 overwhelmingly dominant (188 of 190, ~99%). The cleanest direct nonprofit pathway of any program in this table by recipient-type concentration.",https://www.state.gov/refugee-admissions/
